site,first-paint,first-interactive
aarp,9583.3,
acm,3609.2,10011.265
adf,4780.1,12367.316
alexa,8417.8,17876.993
amazon,5638,9064.734
att,19317.3,39509.635
blackboard,7302.4,11686.757
bleacherreport,7206.9,24006.526
bloomberg,8015.6,32216.337
carfax,4605.1,5835.111
cartoonnetwork,7872.9,16754.767
citi,8276.4,16849.853
cnet,9636.3,
costco,12590.1,24183.887
diply,4257.1,15147.451
ebay,3839.9,19562.66
etsy,4453.8,9271.569
heart,6201,31147.416
history,4801.2,20075.068
imgur,2141.1,15874.579
kongregate,3408.7,7246.828
kotaku,6764.8,
lifehacker,6070,33310.659
macys,11707.4,20515.189
marriott,7871.5,25164.541
mathworks,8473.3,15348.699
mozilla,3089,5799.096
nytimes,4102.9,24535.324
opera,3561.4,6860.22
overstock,1698.4,14888.646
playstation,16783.4,23188.42
ranker,4049.6,5976.866
rantsports,2846.9,14718.431
retailmenot,1689.8,9660.498
samsung,3381,12133.99
scribd,6470.5,16197.69
sfgate,11271.2,31947.955
sitepoint,3748.6,28782.288
slideshare,2612.8,6377.686
squareup,7945.6,17782.889
stubhub,14342.9,26198.048
ted,5666.9,16799.353
theatlantic,10899.9,32788.111
theonion,7828.5,
vimeo,3453.6,9318.835
weightwatchers,19308.8,35531.811
whitehouse,3659.2,11171.468
wiley,10082.5,13211.09
wunderlist,4516.9,4516.944
youtube,4783.1,10305.401
