sitename,value
aarp.org,12627
acm.org,5751
adf.ly,8075.5
alexa.com,15395
amazon.com,8355
att.com,18150.5
blackboard.com,12017.5
bleacherreport.com,10121
bloomberg.com,16056
carfax.com,10482.5
cartoonnetwork.com,16974.5
citi.com,9183
cnet.com,5980.5
costco.com,14332.5
diply.com,13800.5
ebay.com,5389
etsy.com,14987
heart.org,14579.5
history.com,7564.5
imgur.com,16302.5
kongregate.com,8215
kotaku.com,9283
lifehacker.com,7561
macys.com,24528.5
marriott.com,9988.5
mathworks.com,10742
mozilla.org,9381.5
nytimes.com,9401.5
opera.com,5871.5
overstock.com,5506.5
playstation.com,20543.5
ranker.com,8201
rantsports.com,9195
retailmenot.com,8211.5
samsung.com,8262.5
scribd.com,7969.5
sfgate.com,25461
sitepoint.com,7018
slideshare.net,9235.5
squareup.com,12139.5
stubhub.com,14072.5
ted.com,7855
theatlantic.com,15746.5
theonion.com,8273
vimeo.com,8647
weightwatchers.com,40092
whitehouse.gov,7804.5
wiley.com,16047
wunderlist.com,8620
youtube.com,10412
